BusAreaName,BusNum,FuelType,BusName,ID,Status,MW,Mvar,VoltSet,AGC,AVR,MVABase,MWMin,MWMax,MvarMin,MvarMax,CostModel,SubIDExtra,SubName,PartFact,Heat Rate MBTU/MWh
Maine,8452,NG (Natural Gas),BUCKSPORT 4 3,1,Closed,186.8,40.26,1.009,YES,YES,224.16,36.02,186.8,-20.73,95.08,Cubic,502,BUCKSPORT 4,186.8,6.494508756
Maine,8502,DFO (Distillate Fuel Oil),YARMOUTH 4 3,1,Closed,211.5,32.47,1.045,YES,YES,253.8,83.04,211.5,-25.8,98.56,Cubic,503,YARMOUTH 4,211.5,6.721
Maine,8512,DFO (Distillate Fuel Oil),YARMOUTH 4 4,1,Closed,211.5,53.96,1.05,YES,YES,253.8,80.7,211.5,-25.8,98.56,Cubic,503,YARMOUTH 4,211.5,6.651
Maine,8522,DFO (Distillate Fuel Oil),YARMOUTH 4 5,1,Closed,211.5,53.58,1.0545,YES,YES,253.8,40.64,211.5,-25.8,98.56,Cubic,503,YARMOUTH 4,211.5,5.449
Maine,8532,DFO (Distillate Fuel Oil),YARMOUTH 4 6,1,Closed,211.5,32.47,1.045,YES,YES,253.8,104.92,211.5,-25.8,98.56,Cubic,503,YARMOUTH 4,211.5,7.3775
Maine,8562,WAT (Water),WATERVILLE 5 1,1,Closed,1.2,0.46,1.038,YES,YES,1.44,0.48,1.2,-0.06,0.46,Cubic,504,WATERVILLE 5,1.2,
Maine,8562,WAT (Water),WATERVILLE 5 1,5,Closed,1.2,0.46,1.038,YES,YES,1.44,0.51,1.2,-0.06,0.46,Cubic,504,WATERVILLE 5,1.2,
Maine,8562,WAT (Water),WATERVILLE 5 1,4,Closed,1.2,0.46,1.038,YES,YES,1.44,0.5,1.2,-0.06,0.46,Cubic,504,WATERVILLE 5,1.2,
Maine,8562,WAT (Water),WATERVILLE 5 1,2,Open,0.0,0.0,1.038,YES,YES,1.44,0.35,1.2,-0.06,0.46,Cubic,504,WATERVILLE 5,1.2,
Maine,8562,WAT (Water),WATERVILLE 5 1,6,Open,0.0,0.0,1.038,YES,YES,1.44,0.32,1.2,-0.06,0.46,Cubic,504,WATERVILLE 5,1.2,
Maine,8562,WAT (Water),WATERVILLE 5 1,3,Open,0.0,0.0,1.038,YES,YES,1.44,0.18,1.2,-0.06,0.46,Cubic,504,WATERVILLE 5,1.2,
Maine,8592,NG (Natural Gas),MADISON 2 2,1,Open,0.0,0.0,1.04,YES,YES,3.6,1.21,3.0,-0.33,1.53,Cubic,505,MADISON 2,3.0,0.0
Maine,8632,WAT (Water),WEST ENFIELD 3 2,2,Closed,6.5,2.5,1.04,YES,YES,7.8,3.11,6.5,-0.32,2.5,Cubic,506,WEST ENFIELD 3,6.5,
Maine,8632,WAT (Water),WEST ENFIELD 3 2,1,Closed,6.5,2.5,1.04,YES,YES,7.8,2.08,6.5,-0.32,2.5,Cubic,506,WEST ENFIELD 3,6.5,
Maine,8692,WAT (Water),LEWISTON 5 2,2,Closed,6.4,-0.31,1.01,YES,YES,7.68,1.07,6.4,-0.31,2.46,Cubic,507,LEWISTON 5,6.4,
Maine,8692,WAT (Water),LEWISTON 5 2,1,Closed,6.4,-0.31,1.01,YES,YES,7.68,1.1,6.4,-0.31,2.46,Cubic,507,LEWISTON 5,6.4,
Maine,8702,WAT (Water),LEWISTON 5 3,1,Closed,6.4,-0.31,1.016,YES,YES,7.68,1.06,6.4,-0.31,2.46,Cubic,507,LEWISTON 5,6.4,
Maine,8732,WAT (Water),LEWISTON 6 1,1,Closed,14.2,5.45,1.045,YES,YES,17.04,3.53,14.2,-0.7,5.45,Cubic,508,LEWISTON 6,14.2,
Maine,8742,WAT (Water),LEWISTON 6 2,1,Closed,14.2,-0.7,1.041,YES,YES,17.04,6.28,14.2,-0.7,5.45,Cubic,508,LEWISTON 6,14.2,
Maine,8812,NG (Natural Gas),RUMFORD 3 4,1,Closed,137.25,29.13,1.044,YES,YES,164.7,68.21,137.25,-15.23,69.86,Cubic,509,RUMFORD 3,137.25,6.050828098
Maine,8822,NG (Natural Gas),RUMFORD 3 5,1,Closed,137.25,34.4,1.031,YES,YES,164.7,47.32,137.25,-15.23,69.86,Cubic,509,RUMFORD 3,137.25,5.75310559
Maine,8852,WAT (Water),LEWISTON 7 1,6,Closed,0.3,-0.01,1.038,YES,YES,0.36,0.14,0.3,-0.01,0.12,Cubic,510,LEWISTON 7,0.3,
Maine,8852,WAT (Water),LEWISTON 7 1,5,Closed,0.3,-0.01,1.038,YES,YES,0.36,0.06,0.3,-0.01,0.12,Cubic,510,LEWISTON 7,0.3,
Maine,8852,WAT (Water),LEWISTON 7 1,4,Closed,0.3,-0.01,1.038,YES,YES,0.36,0.05,0.3,-0.01,0.12,Cubic,510,LEWISTON 7,0.3,
Maine,8852,WAT (Water),LEWISTON 7 1,3,Closed,0.3,-0.01,1.038,YES,YES,0.36,0.11,0.3,-0.01,0.12,Cubic,510,LEWISTON 7,0.3,
Maine,8852,WAT (Water),LEWISTON 7 1,2,Closed,0.3,-0.01,1.038,YES,YES,0.36,0.13,0.3,-0.01,0.12,Cubic,510,LEWISTON 7,0.3,
Maine,8852,WAT (Water),LEWISTON 7 1,1,Closed,0.3,-0.01,1.038,YES,YES,0.36,0.14,0.3,-0.01,0.12,Cubic,510,LEWISTON 7,0.3,
Maine,8872,WAT (Water),TOPSHAM 4 1,4,Closed,3.42,-0.17,1.038,YES,YES,4.11,0.89,3.42,-0.17,1.32,Cubic,511,TOPSHAM 4,3.42,
Maine,8872,WAT (Water),TOPSHAM 4 1,3,Closed,3.42,-0.17,1.038,YES,YES,4.11,0.47,3.42,-0.17,1.32,Cubic,511,TOPSHAM 4,3.42,
Maine,8872,WAT (Water),TOPSHAM 4 1,2,Closed,3.42,-0.17,1.038,YES,YES,4.11,0.48,3.42,-0.17,1.32,Cubic,511,TOPSHAM 4,3.42,
Maine,8872,WAT (Water),TOPSHAM 4 1,1,Closed,3.42,-0.17,1.038,YES,YES,4.11,1.04,3.42,-0.17,1.32,Cubic,511,TOPSHAM 4,3.42,
Maine,8912,WND (Wind),FREEDOM 3 3,1,Closed,4.5,-0.65,1.009,YES,YES,5.4,1.03,4.5,-0.65,0.96,Cubic,512,FREEDOM 3,4.5,
Maine,8952,WND (Wind),MARS HILL 2 2,1,Closed,42.0,8.95,1.0435,YES,YES,50.4,18.98,42.0,-6.05,8.95,Cubic,513,MARS HILL 2,42.0,
Maine,8992,WAT (Water),WEST FORKS 1,1,Closed,19.1,7.33,1.043,YES,YES,22.92,6.57,19.1,-0.94,7.33,Cubic,514,WEST FORKS,19.1,
Maine,9002,WAT (Water),WEST FORKS 2,2,Closed,19.1,-0.94,1.04,YES,YES,22.92,8.33,19.1,-0.94,7.33,Cubic,514,WEST FORKS,19.1,
Maine,9002,WAT (Water),WEST FORKS 2,3,Closed,19.1,-0.94,1.04,YES,YES,22.92,4.68,19.1,-0.94,7.33,Cubic,514,WEST FORKS,19.1,
Maine,9002,WAT (Water),WEST FORKS 2,1,Open,0.0,0.0,1.04,YES,YES,22.92,5.54,19.1,-0.94,7.33,Cubic,514,WEST FORKS,19.1,
Maine,9052,WAT (Water),ELLSWORTH 4 3,1,Closed,2.23,-0.11,1.0425,YES,YES,2.67,0.75,2.23,-0.11,0.85,Cubic,515,ELLSWORTH 4,2.22,
Maine,9052,WAT (Water),ELLSWORTH 4 3,2,Closed,2.23,-0.11,1.0425,YES,YES,2.67,0.33,2.23,-0.11,0.85,Cubic,515,ELLSWORTH 4,2.22,
Maine,9062,WAT (Water),ELLSWORTH 4 4,2,Closed,2.23,-0.11,1.016,YES,YES,2.67,0.61,2.23,-0.11,0.85,Cubic,515,ELLSWORTH 4,2.22,
Maine,9062,WAT (Water),ELLSWORTH 4 4,1,Closed,2.23,-0.11,1.016,YES,YES,2.67,0.53,2.23,-0.11,0.85,Cubic,515,ELLSWORTH 4,2.22,
Maine,9092,WAT (Water),HOLLIS CENTER 3 1,2,Closed,2.0,-0.1,1.038,YES,YES,2.4,0.25,2.0,-0.1,0.77,Cubic,516,HOLLIS CENTER 3,2.0,
Maine,9092,WAT (Water),HOLLIS CENTER 3 1,1,Closed,2.0,-0.1,1.038,YES,YES,2.4,0.55,2.0,-0.1,0.77,Cubic,516,HOLLIS CENTER 3,2.0,
Maine,9122,WAT (Water),WATERVILLE 6 2,2,Closed,2.1,0.81,1.045,YES,YES,2.52,0.44,2.1,-0.1,0.81,Cubic,517,WATERVILLE 6,2.1,
Maine,9122,WAT (Water),WATERVILLE 6 2,1,Open,0.0,0.0,1.045,YES,YES,2.52,0.78,2.1,-0.1,0.81,Cubic,517,WATERVILLE 6,2.1,
Maine,9152,WAT (Water),SHAWMUT 2,1,Closed,1.47,-0.07,1.04,YES,YES,1.76,0.43,1.47,-0.07,0.56,Cubic,518,SHAWMUT,1.47,
