name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
BUCKSPORT_NG_Maine,ngcc,bus_1882,298.4,5.21705561775,56.38,3,895.1999999999999,20888.0,298.4,4,4
YARMOUTH_O_Maine,oil,bus_1882,846.0,6.549625,309.3,8,2538.0,59220.0,846.0,1,1
MADISON_NG_Maine,ngcc,bus_1882,3.0,4.722233381856098,1.21,3,9.0,210.0,3.0,4,4
RUMFORD_NG_Maine,ngcc,bus_1882,274.5,5.901966844,115.53,3,823.5,19215.0,274.5,4,4
SOUTHPORTLAND_O_Maine,oil,bus_1882,35.0,0.525,11.66,8,105.0,2450.0,35.0,1,1
BANGOR_NG_Maine,ngcc,bus_1882,550.2,4.174419040666667,197.92,3,1650.6,38514.0,550.2,4,4
JAY_NG_Maine,ngcc,bus_1882,163.5,3.299636509666667,62.74,3,490.5,11445.0,163.5,4,4
RUMFORD_O_Maine,oil,bus_1882,12.5,0.39,4.67,8,37.5,875.0,12.5,1,1
SEARSMONT_O_Maine,oil,bus_1882,2.0,0.0655,0.84,8,6.0,140.0,2.0,1,1
RUMFORD_C_Maine,coal,bus_1882,102.6,11.130731756117966,17.51,4,307.79999999999995,7182.0,33.858,12,12
WESTBROOK_NG_Maine,ngcc,bus_1882,563.91,6.529590712666667,168.11,3,1691.73,39473.7,563.91,4,4
PORTSMOUTH_O_New_Hampshire,oil,bus_1882,21.2,0.68,8.54,8,63.6,1484.0,21.2,1,1
PRESQUEISLE_O_Maine,oil,bus_562,6.0,0.054,1.41,8,18.0,420.0,6.0,1,1
EASTPORT_O_Maine,oil,bus_562,2.0,0.0675,0.92,8,6.0,140.0,2.0,1,1
MEDWAY_O_Maine,oil,bus_562,8.0,0.4721112440191388,2.21,8,24.0,560.0,8.0,1,1
CARIBOU_O_Maine,oil,bus_562,26.58,0.133,8.85,8,79.74,1860.6,26.58,1,1
MIRRORLAKE_O_New_Hampshire,oil,bus_4792,18.0,0.4835,4.11,8,54.0,1260.0,18.0,1,1
CONCORD_O_New_Hampshire,oil,bus_4792,18.6,0.482,3.67,8,55.8,1302.0,18.6,1,1
TAMWORTH_O_New_Hampshire,oil,bus_4792,18.6,0.5095,4.58,8,55.8,1302.0,18.6,1,1
PLYMOUTH_O_New_Hampshire,oil,bus_4792,2.8,0.04625,1.21,8,8.399999999999999,196.0,2.8,1,1
PORTSMOUTH_O_New_Hampshire_2,oil,bus_42382,414.0,10.9255,88.18,8,1242.0,28980.0,414.0,1,1
CONCORD_C_New_Hampshire,coal,bus_42382,459.2,6.319130925,189.18,4,1377.6,32144.0,151.536,12,12
PORTSMOUTH_C_New_Hampshire,coal,bus_42382,100.0,11.130731756117966,28.58,4,300.0,7000.0,33.0,12,12
HAMPTON_O_New_Hampshire,oil,bus_42382,3.78,0.0124166666666666,1.08,8,11.34,264.6,3.78,1,1
HAMPTON_NG_New_Hampshire,ngcc,bus_42382,5.0,4.722233381856098,1.54,3,15.0,350.0,5.0,4,4
LONDONDERRY_NG_New_Hampshire,ngcc,bus_42382,789.99,7.463930807666666,328.84000000000003,3,2369.9700000000003,55299.3,789.99,4,4
CONCORD_O_New_Hampshire_3,oil,bus_42382,20.7,0.1465,6.53,8,62.1,1449.0,20.7,1,1
PORTSMOUTH_NG_New_Hampshire,ngcc,bus_42382,605.49,6.6622459056666665,143.63000000000002,3,1816.47,42384.3,605.49,4,4
PEABODY_NG_Massachusetts,ngcc,bus_42382,71.59,4.6517559846,22.5,3,214.77,5011.3,71.59,4,4
MARBLEHEAD_O_Massachusetts,oil,bus_42382,7.800000000000001,0.03625,1.63,8,23.4,546.0,7.800000000000001,1,1
BOSTON_NG_Massachusetts,ngcc,bus_42382,59.2,3.8485510976666655,16.07,3,177.60000000000002,4144.0,59.2,4,4
SHREWSBURY_O_Massachusetts,oil,bus_42382,14.0,0.0813,4.23,8,42.0,980.0,14.0,1,1
BELLINGHAM_NG_Massachusetts,ngcc,bus_42382,964.1,6.528537085400001,341.47,3,2892.3,67487.0,964.1,4,4
LOWELL_NG_Massachusetts,ngcc,bus_42382,85.0,4.8054458775,16.63,3,255.0,5950.0,85.0,4,4
HUDSON_O_Massachusetts,oil,bus_42382,18.3,0.0567222222222222,4.8100000000000005,8,54.900000000000006,1281.0,18.3,1,1
CAMBRIDGE_NG_Massachusetts,ngcc,bus_42382,274.8,4.910547126,48.49,3,824.4000000000001,19236.0,274.8,4,4
WELLESLEYHILLS_NG_Massachusetts,ngcc,bus_42382,7.199999999999999,4.722233381856098,2.14,3,21.6,504.0,7.199999999999999,4,4
BOSTON_O_Massachusetts,oil,bus_42382,133.11,0.3179583333333334,40.38,8,399.33,9317.7,133.11,1,1
CHARLESTOWN_O_Massachusetts,oil,bus_42382,14.2,0.469,6.16,8,42.6,994.0,14.2,1,1
CAMBRIDGE_O_Massachusetts,oil,bus_42382,20.0,0.6455,8.19,8,60.0,1400.0,20.0,1,1
NORTHWEYMOUTH_NG_Massachusetts,ngcc,bus_42382,872.19,7.645708819333334,239.92,3,2616.57,61053.3,872.19,4,4
