Bus,Fuel,Max_Cap,Heat_Rate,Min_Cap,var_om,no_load,st_cost,ramp,minup,mindown
bus_562,oil,45.78,0.0872463958060288,6.124180865006553,8.0,57.13868938401048,1333.236085626911,45.78,1,1
bus_1882,oil,904.2,6.1644600199071,290.04493253704936,8.0,2380.207166556072,55538.16721964167,904.2,1,1
bus_4792,oil,39.4,0.4647005076142131,4.125786802030457,8.0,51.60913705583757,1204.2131979695432,39.4,1,1
bus_13172,oil,542.7,2.53918407960199,156.57179104477612,8.0,1580.2253731343287,36871.92537313433,542.7,1,1
bus_20492,oil,89.3,0.9628712206047032,11.734647256438969,8.0,91.96494960806272,2145.84882418813,89.3,1,1
bus_22892,oil,52.09,0.2193241185128303,2.683766557880591,7.999999999999999,30.795359953925896,718.5583989249375,52.09,1,1
bus_27442,oil,225.08,3.1055204028882177,74.7434743202417,8.0,563.9336555891239,13158.451963746224,225.08,1,1
bus_27672,oil,43.6,0.6094999999999999,11.57,8.0,130.8,3052.0,43.6,1,1
bus_28182,oil,210.83,1.1383653061708483,38.38258217521225,8.0,327.19233268510175,7634.487762652373,210.83,1,1
bus_42382,oil,3775.35,5.254368585577087,609.4860537698491,7.999999999999999,5498.992709205769,128309.82988146794,3775.35,1,1
bus_55472,oil,2302.5199999999995,2.5767312092177206,472.2010209683302,8.0,4214.761229956741,98344.42869899062,2302.5199999999995,1,1
bus_57252,oil,2076.91,4.045173754911278,481.4627075318623,8.0,5798.149229143295,135290.1486800102,2076.91,1,1
bus_63532,oil,6109.39,4.008323766967496,232.8865548115278,7.999999999999999,2747.6837570854045,64112.62099865943,6109.39,1,1
bus_72112,oil,1409.7800000000002,3.830458632846153,425.15,8.0,4229.34,98684.60000000002,1409.7800000000002,1,1
bus_72752,oil,1781.48,2.5389269890909083,407.59,8.0,5344.440000000001,124703.6,1781.48,1,1
bus_77782,oil,32.0,0.495,11.67,8.0,96.0,2240.0,32.0,1,1
bus_96102,oil,45.30000000000001,0.5387450331125827,9.905761589403973,8.0,68.09602649006624,1588.9072847682123,45.30000000000001,1,1
